id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3UwHmazWbSeMrjYjoOWawy,Why Oh Why,7,108707,0,['Gerry & The Pacemakers'],['3UmBeGyNwr4iDWi1vTxWi8'],2008-2-11,0.346,0.822,4,-7.598,1,0.0348,0.00118,0,0.125,0.862,101.293,4
4ZuWANWfNdumZdkzyvoVk8,Seni Anan Benim I?in Do?urmu?,51,248333,0,['Ebru Ya?ar'],['0Qbd0AGWuzggX61s306wZN'],1999-6-7,0.753,0.814,6,-9.01,0,0.0633,0.478,0,0.0622,0.875,100.025,4
0G4ZaPpIGRSeSYThZzZ5jf,Blow The Dust Off - 2021 Remaster,0,172093,0,['The Hangouts'],['0FqlTcIArQz81zbJnkswx4'],2021-4-2,0.211,0.892,0,-1.555,1,0.0522,0.188,0,0.326,0.648,192.849,4
0FmCLEHfINGqwlyzvklNqy,Holidae In,61,314400,0,"['Chingy', 'Ludacris', 'Snoop Dogg']","['3s2wTjWxK8NOX09dmsvVOh', '3ipn9JLAPI5GUEo4y4jcoi', '7hJcb9fa4alzcOq3EaNPoG']",2003-1-1,0.81,0.791,7,-5.909,1,0.181,0.0893,0,0.0838,0.948,153.067,4
2gx2brtDo5GdQ9szHsd1F6,Love on sale(2005),2,258800,0,"['Phillip Boa And The Voodooclub', 'The Voodooclub']","['5yNrjeJnyfNVCSWIzTDC0v', '7kVd3KxoiPZ4BBUDT65kwA']",2005-2-28,0.59,0.659,10,-6.424,0,0.0284,0.00123,0.00067,0.0926,0.867,131.022,4
3Fv1f20Go5eQ39mOkt2qM1,Como Yo Nadie Te Ha Amado (This Ain't a Love Song),59,262333,0,['Yuridia'],['5B8ApeENp4bE4EE3LI8jK2'],2006-10-27,0.541,0.43,6,-7.491,1,0.0297,0.249,0,0.102,0.177,164.215,3
11YhatwfLK3KDERYGmkXc7,Je Sto Vicino A Te - Remastered 2008,10,222587,0,['Pino Daniele'],['2eFv7NVs8R6Go7msuqikeg'],2008-1-1,0.659,0.764,11,-4.704,0,0.032,0.647,0.00517,0.0956,0.724,112.681,4
3Q9Q9rYI2hwYZNl0Mmc2FB,La Gran Se?ora,66,252440,0,['Jenni Rivera'],['5c4wQaXkNDqSOTjqX4ExAu'],2009-12-1,0.623,0.398,0,-5.804,1,0.0457,0.605,0,0.125,0.754,80.115,3
5VH0Z3NahvFuYik15r7Gqv,If Only You'd Reply - Mono; 2009 Remaster,0,165667,0,['Cliff Bennett & The Rebel Rousers'],['4SwsfZi8Wl6WyKArywOjmR'],2009-4-6,0.565,0.963,9,-3.213,1,0.118,0.716,0,0.0924,0.837,110.444,4
6qUSs4FDzZUdAhY6JDIJfa,Who's That Chick? (feat. Rihanna),69,201040,0,['David Guetta'],['1Cs0zKBU1kc0i8ypK3B9ai'],2010-11-22,0.675,0.602,11,-4.733,0,0.116,0.00377,0,0.0458,0.933,127.938,4
0OU01HIJgtpkWLuwOb1tZD,"Demolition Man - Live at Irving Plaza, 2011 Remix",20,265533,0,['Sting'],['0Ty63ceoRnnJKVEYP0VQpk'],2011-1-1,0.211,0.875,9,-8.88,1,0.422,0.00734,0.00126,0.986,0.337,165.136,4
3W3KtDwAIg3mAruSpnfG3Q,Fancy,72,199938,1,"['Iggy Azalea', 'Charli XCX']","['5yG7ZAZafVaAlMTeBybKAL', '25uiPmTg16RbhZWAqwLBy5']",2014-1-1,0.912,0.716,10,-4.141,0,0.0697,0.0904,0,0.0491,0.377,94.981,4
25R2dgoo6E8e939yJUnD2L,"An der Elbe, Walzer, Op. 477",7,575093,0,"['Johann Strauss II', 'Zubin Mehta', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '3FEd0qHPFOgcpfw7bCXB4x', '003f4bk13c6Q3gAUXv7dGJ']",2015-1-9,0.24,0.114,10,-20.959,1,0.0413,0.94,0.923,0.715,0.177,88.925,4
2ak8H9BJ9DATcTfEZcen2V,Viva Jamers,9,311000,0,['Jamrud'],['5lk9qdr0u90LwpeyZH8ib0'],2016-10-7,0.599,0.967,11,-4.456,0,0.0695,0.00154,0.000222,0.134,0.256,127.977,4
3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",75,288600,1,"['DJ Khaled', 'Justin Bieber', 'Quavo', 'Chance the Rapper', 'Lil Wayne']","['0QHgL1lAIqAw0HtD7YldmP', '1uNFoZAHBGtllmzznpCI3s', '0VRj0yCOv2FXJNP47XQnx5', '1anyVhU62p31KFi8MEzkbf', '55Aa2cqylxrFIXC767Z865']",2017-6-22,0.609,0.668,7,-4.284,1,0.0367,0.0552,0,0.167,0.811,80.924,4
5W6IJaxahjgx3YnRUWpAFS,I'm Yours,24,254480,0,"['Quincy Jones', 'El DeBarge', 'Siedah Garrett']","['3rxIQc9kWT6Ueg4BhnOwRK', '5xO4f5QyPMYnCPRyRveBSD', '7EVlecngyrLHfQUqFMpwkT']",1999-2-9,0.628,0.462,8,-9.321,1,0.0408,0.579,0,0.253,0.355,76.113,4
2eQPLfiQEos0sFEOZGRzQu,I Don't Wanna Play House,25,156493,0,['Barbara Ray'],['4kxdPfFuWL6fPZpkCRLKh1'],2000-3-31,0.552,0.265,6,-12.022,1,0.0312,0.663,0.00729,0.139,0.322,104.477,4
0YUwrzyUcS5wIYUWkXCAbl,Don't Break My Heart,42,230760,0,['UB40'],['69MEO1AADKg1IZrq2XLzo5'],2000,0.858,0.582,7,-6.735,1,0.0254,0.16,0.00577,0.0878,0.937,100.759,4
2AHMRwYQ6BlaqQjiTharHq,John Vuli Gate,41,355033,0,"['Mapara A Jazz', 'Ntosh Gazi', 'Colano']","['07iC6rj6LOxVbylqwbVPih', '1PVQZbVl2qjnSDoHF1PzQY', '02OOc2ZYid4CK1DJF5RXrI']",2020-11-13,0.884,0.679,1,-9.041,1,0.0581,0.00672,4.05E-06,0.0353,0.325,113.002,4
23SlyxzUtQtExgEButcOtR,Save Me,57,213933,0,['Shinedown'],['70BYFdaZbEKbeauJ670ysI'],2005-10-4,0.524,0.816,11,-3.49,0,0.0308,0.00044,0,0.0777,0.252,116.026,4
102YhppAbm0jBaafWUWrNC,Cosa Linda,49,296400,0,['No Te Va Gustar'],['4ZDoy7AWNgQVmX7T0u0B1j'],1999-12-1,0.742,0.282,11,-12.091,0,0.0513,0.842,0,0.0836,0.546,85.128,4
4XlaqUspMU73ZWXLG8Zlwc,Simples Desejo,52,283133,0,['Luciana Mello'],['0rzVUhvOIVNUbY6uKCpGfb'],2000,0.635,0.594,5,-9.09,1,0.0382,0.334,0.000901,0.366,0.392,82.013,4
4p9kCRGHu4d1tMvucVnjlR,The Controller Mouse (a Bear Inside a Box 2008),0,199523,0,['Blaise Kolodychuk and the Fukachuk Egg Machine'],['5GOUbnUpwmS7qodIi0yYyI'],2018-12-9,0.47,0.767,9,-9.45,1,0.0308,0.00194,0.558,0.0511,0.287,160.035,4
1LitgN2tFmNVEtLY6qh5SZ,Nueve y Quince - 9: 15,53,264040,0,['Aventura'],['1qto4hHid1P71emI6Fd8xi'],2002-6-1,0.898,0.579,6,-7.947,1,0.0458,0.353,4.17E-05,0.0441,0.961,122.248,4
2kVtMvrlcK5SRxZvdHgTzn,Mi Suerte,62,213271,0,['Morat'],['5C4PDR4LnhZTbVnKWXuDKD'],2018-10-25,0.645,0.662,1,-5.05,0,0.0444,0.235,0,0.107,0.486,83.003,4
3r7hDfVRB2QWmHeCDBkveI,Lintu,31,413387,0,['Timo Rautiainen & Trio Niskalaukaus'],['6sJ8TvVdY3NLFxtG4TESzC'],2004-4-16,0.451,0.799,9,-5.064,0,0.0346,4.77E-06,0.000654,0.101,0.275,99.602,4
